"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"UGT1A6",-772.044482173175,971.328985507246,-5.79716095921421,1.92319143419532e-07,3.43424744649745e-06,-3.99661906620829,"Downregulated"
"DNAJB13",-183.544269949066,439.207971014493,-5.7923166285941,1.96066933735631e-07,3.48369509466878e-06,-3.99732595316736,"Downregulated"
"AR",-96.6952674023769,196.228985507246,-5.78582104030454,2.01205617622387e-07,3.56018920924716e-06,-3.99827406904458,"Downregulated"
"GDPD3",-778.238624787776,840.014492753623,-5.78485817896146,2.01978574311757e-07,3.56488463976086e-06,-3.99841463810599,"Downregulated"
"BPIFB6",-120.936672325976,100.739130434783,-5.78429814990381,2.02429497064835e-07,3.5670682911004e-06,-3.99849640047715,"Downregulated"
"RPRM",-532.703480475382,372.217391304348,-5.77734065296918,2.08115092958375e-07,3.653534178864e-06,-3.99951236671646,"Downregulated"
"TRH",-75.7138370118846,80.4347826086957,-5.7772481414538,2.08191744892892e-07,3.653534178864e-06,-3.9995258781064,"Downregulated"
"ATP6V0A2",-63.286544991511,166.244927536232,-5.77661074478356,2.08720628593355e-07,3.65680595969506e-06,-3.99961897218962,"Downregulated"
"TWF2-DT",-235.747283531409,242.839130434783,-5.77310735421024,2.11651359998665e-07,3.70207870228623e-06,-4.0001307088061,"Downregulated"
"GALNT5",-199.543480475382,387.236811594203,-5.76778430366046,2.16182251107651e-07,3.77206236675336e-06,-4.00090841500917,"Downregulated"
"CLTRN",-455.385568760611,401.472463768116,-5.76667268791029,2.1714045825472e-07,3.78568878934372e-06,-4.00107085022931,"Downregulated"
"PXMP2",-1253.86290322581,1683.67971014493,-5.76448437582833,2.19039041168446e-07,3.81567439007708e-06,-4.00139064462792,"Downregulated"
"P3H2",-416.716935483871,383.895652173913,-5.76046571145027,2.2256842229412e-07,3.8614084443018e-06,-4.00197801368071,"Downregulated"
"CACNA1A",-78.7245670628184,139.846376811594,-5.75550838427478,2.26999606732033e-07,3.93189829762857e-06,-4.00270274083032,"Downregulated"
"LOC101927263",-262.590152801358,261.917391304348,-5.75300207467571,2.29272944787203e-07,3.9508665364359e-06,-4.00306921432391,"Downregulated"
"ACSL3",-1222.86188455009,2671.47101449275,-5.75259493147713,2.29644358456591e-07,3.9508665364359e-06,-4.00312875126842,"Downregulated"
"CLEC3B",-667.304244482173,682.250724637681,-5.74735913536531,2.34473941540794e-07,4.0246358364218e-06,-4.00389449414418,"Downregulated"
"CYP3A5",-2127.23304329372,2339.33115942029,-5.74682112116744,2.34975859379735e-07,4.02759183689648e-06,-4.0039731907771,"Downregulated"
"CYTIP",-1563.41655348048,2214.34927536232,-5.74650561045392,2.35270695103996e-07,4.02941157605135e-06,-4.00401934226427,"Downregulated"
"ZNF630",-129.676570458404,156.771014492754,-5.74504757713779,2.36637935520602e-07,4.04958043983452e-06,-4.00423262617171,"Downregulated"
"KLHDC1",-96.2293293718166,176.234782608696,-5.74468450461315,2.36979617129728e-07,4.05218069098447e-06,-4.00428573950718,"Downregulated"
"SCUBE2",-332.317826825127,252.78115942029,-5.73962514383223,2.41791881661813e-07,4.11470057103692e-06,-4.00502596482057,"Downregulated"
"SH3RF2",-271.508913412564,486.696739130435,-5.73918376093654,2.4221625388946e-07,4.11864055280032e-06,-4.00509055144805,"Downregulated"
"ZNF85",-272.346222410866,388.520289855072,-5.73702702491818,2.44300466510763e-07,4.150775706659e-06,-4.00540616222248,"Downregulated"
"LARGE1",-159.835936615733,300.89806763285,-5.73431648641967,2.46944978070542e-07,4.18904201481538e-06,-4.00580286227628,"Downregulated"
"CFAP95-DT",-90.8393039049236,116.914492753623,-5.73235954601668,2.48871792823807e-07,4.21837688836353e-06,-4.00608930242984,"Downregulated"
"RHOBTB1",-587.852122241087,1068.48115942029,-5.73160961996247,2.49614100610014e-07,4.22425384051352e-06,-4.00619907743576,"Downregulated"
"ZNF311",-58.7917232597623,110.341304347826,-5.73089141955936,2.50327053455352e-07,4.23296506781152e-06,-4.00630421217382,"Downregulated"
"ALDH1A1",-7208.269524618,8169.10579710145,-5.72984771627781,2.51366714915299e-07,4.24718269813769e-06,-4.00645700265812,"Downregulated"
"LOC105373418",-161.770373514431,275.276811594203,-5.72756754620961,2.53652903387035e-07,4.27904032988698e-06,-4.0067908298197,"Downregulated"
"GABARAPL1",-442.958828522921,645.121014492754,-5.72504015469664,2.56210950791484e-07,4.31878238046861e-06,-4.00716089458044,"Downregulated"
"WNK3",-64.5140350877193,123.8038647343,-5.72474325618066,2.56513116651312e-07,4.32046579836126e-06,-4.00720436992374,"Downregulated"
"ZSCAN31",-260.920882852292,348.046376811594,-5.72216903310668,2.59147797367861e-07,4.35111596571179e-06,-4.00758134392643,"Downregulated"
"GC",-1100.92758913413,799.427536231884,-5.71934449530114,2.62069406340366e-07,4.39326241068382e-06,-4.00799502852815,"Downregulated"
