"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"PDE4DIPP2",-59.0059847198642,144.600724637681,-2.78199004097316,0.00698813682187805,0.019671232121372,-4.4307048375406,"Downregulated"
"H4C12",183.128692699491,472.040579710145,2.78186551967198,0.00699053940567678,0.0196754019619187,-4.43072034180631,"Upregulated"
"USP43",88.3959252971136,339.475362318841,2.78174782779618,0.00699281091570676,0.0196792018351231,-4.43073499535047,"Upregulated"
"FSIP1",-21.906324278438,36.7985507246377,-2.78152410489821,0.00699713074388456,0.0196887643342744,-4.43076284954569,"Downregulated"
"TRAV13-2",-32.0886247877759,89.0376811594203,-2.78137692484864,0.00699997395463608,0.0196941699050406,-4.43078117318457,"Downregulated"
"SNTG1",-18.1525749858517,64.4169082125604,-2.7813157604509,0.00700115583478438,0.0196949005747484,-4.43078878786546,"Downregulated"
"CBLL1-AS1",-49.0134974533106,151.323188405797,-2.78106748989652,0.00700595504965567,0.0197038203678765,-4.43081969535273,"Downregulated"
"C2",201.621774193548,439.691304347826,2.78105627896788,0.00700617183469841,0.0197038203678765,-4.43082109097502,"Upregulated"
"SLC25A18",-38.9999151103565,55.0927536231884,-2.78096717877894,0.00700789497855573,0.0197060715019111,-4.43083218272895,"Downregulated"
"LANCL1",393.583149405773,1242.21884057971,2.78026388170515,0.00702150997915388,0.019740790787766,-4.43091972608999,"Upregulated"
"HPS1",-49.6515959252972,312.401449275362,-2.78023392017861,0.00702209053774678,0.019740790787766,-4.43092345527489,"Downregulated"
"NOS1AP",-55.1747453310696,130.576811594203,-2.78004598345566,0.00702573315564526,0.0197460350037889,-4.43094684641529,"Downregulated"
"C12orf50",-16.0805602716469,23.195652173913,-2.78000444150395,0.00702653856203159,0.0197460350037889,-4.43095201671674,"Downregulated"
"TAGLN2",-1656.60573005094,9079.82608695652,-2.77989267194115,0.00702870594692203,0.0197460350037889,-4.43096592729934,"Downregulated"
"MYLK3",-20.504091680815,75.2272463768116,-2.77989223594655,0.00702871440273376,0.0197460350037889,-4.43096598156156,"Downregulated"
"TRAV10",-68.3072156196945,191.249275362319,-2.7798874176701,0.00702880785047328,0.0197460350037889,-4.43096658122555,"Downregulated"
"GPAA1",346.576542161857,1178.15748792271,2.77985155610933,0.00702950340093678,0.0197460350037889,-4.43097104439655,"Upregulated"
"DCHS2",-49.4333616298811,87.3855072463768,-2.77959282898553,0.0070345233976056,0.0197575376384354,-4.43100324340226,"Downregulated"
"IDO1",1513.00747028862,1125.39565217391,2.77894103910655,0.00704718444978228,0.0197904955021696,-4.43108435170797,"Upregulated"
"MT-ATP6",-18154.3263157895,30853.7652173913,-2.77878637640527,0.00705019184939009,0.0197952743367938,-4.43110359615352,"Downregulated"
"MTMR11",363.483870967742,898.595652173913,2.7787581985132,0.00705073989230654,0.0197952743367938,-4.43110710221653,"Upregulated"
"ZMYND11",-200.660696095077,1339.17427536232,-2.77850309726706,0.00705570323646235,0.0198066054181291,-4.43113884247635,"Downregulated"
"RGS11",-17.7045274476514,37.9314009661836,-2.77844086171654,0.00705691460082029,0.0198074024352371,-4.43114658569479,"Downregulated"
"OR2H2",-46.9673174872665,183.10652173913,-2.77813139182628,0.00706294101528097,0.0198217123867747,-4.43118508774849,"Downregulated"
"MC1R",-72.5195246179967,202.339130434783,-2.77738583726991,0.00707747885815433,0.0198599022432797,-4.43127783377061,"Downregulated"
"NTSR1",-65.1367572156197,105.998550724638,-2.77712678017714,0.00708253673309658,0.0198714841051949,-4.4313100566298,"Downregulated"
"ZG16",-878.581494057725,526.814492753623,-2.77676134810764,0.00708967713120892,0.0198889050953933,-4.43135550788118,"Downregulated"
"UCK1",-65.5882852292021,444.222463768116,-2.77641103076096,0.00709652839491767,0.019905510497801,-4.43139907583129,"Downregulated"
"RPL37A",-5393.22422184493,17518.4357487923,-2.77620365709596,0.00710058692748491,0.0199142790558497,-4.43142486473138,"Downregulated"
"ING5",-49.7820246179968,228.711231884058,-2.77583769533332,0.0071077544013943,0.0199275838683957,-4.4314703727489,"Downregulated"
"MYO9A",-42.8267685342389,231.402415458937,-2.77582220043811,0.00710805802014085,0.0199275838683957,-4.43147229948785,"Downregulated"
"MEPE",-51.4645161290323,57.9217391304348,-2.77581852352032,0.0071081300702083,0.0199275838683957,-4.43147275669946,"Downregulated"
"ANXA2",3672.97877758914,16120.4829710145,2.77539802460337,0.00711637426731564,0.0199480778615383,-4.43152504183274,"Upregulated"
"RLIG1",150.926825127334,739.494927536232,2.77533828647236,0.00711754618975789,0.019948744616097,-4.43153246932713,"Upregulated"
"COL6A6",-28.6269383135257,48.2806763285024,-2.77445892804187,0.0071348176478031,0.0199945283432792,-4.43164179253179,"Downregulated"
"SPOCK3",-18.2586587436333,48.1057971014493,-2.77432590600237,0.00713743367657418,0.0199992352441085,-4.43165832822,"Downregulated"
"GET4",46.0185908319185,139.152173913043,2.77419920560613,0.00713992620140371,0.0200035948948418,-4.43167407763375,"Upregulated"
